price,bed,full_bath,half_bath,property_area,years_old,distance_downtown,lot_size,basement,garage,walk_score,bike_score,transit_score,house,condo,townhouse
239900,3.0,2.0,0.0,1376.0,110.0,13.85,1376.0,0.0,0.0,44,68,34,0,1,0
169900,2.0,1.0,0.0,850.0,11.0,12.44,850.0,0.0,0.0,76,77,51,0,1,0
349900,2.0,2.0,1.0,1535.0,20.0,14.27,3272.0,1.0,0.0,24,63,42,1,0,0
955000,4.0,4.0,1.0,2373.0,11.0,2.73,2992.0,1.0,1.0,75,99,61,1,0,0
189900,2.0,2.0,0.0,872.0,12.0,13.29,872.0,0.0,0.0,24,70,53,0,1,0
217777,2.0,2.0,0.0,851.0,15.0,15.24,851.0,0.0,0.0,51,71,36,0,1,0
229900,2.0,2.0,0.0,945.0,6.0,14.9,945.0,0.0,0.0,19,61,57,0,1,0
429900,4.0,2.0,1.0,1690.0,4.0,12.15,4187.0,1.0,1.0,6,24,40,1,0,0
216900,2.0,2.0,0.0,791.0,6.0,7.72,791.0,0.0,1.0,70,81,48,0,1,0
339900,2.0,2.0,0.0,985.0,11.0,3.58,985.0,0.0,0.0,73,78,52,0,1,0
230000,2.0,2.0,0.0,933.0,8.0,11.31,933.0,0.0,0.0,44,66,48,0,1,0
449000,4.0,3.0,0.0,1881.0,49.0,11.6,3907.0,1.0,1.0,15,53,56,1,0,0
799900,3.0,2.0,1.0,1517.0,8.0,8.95,8288.0,1.0,1.0,48,84,59,1,0,0
529900,7.0,2.0,2.0,2385.0,14.0,6.36,6501.0,1.0,1.0,54,66,60,1,0,0
599900,4.0,3.0,1.0,1733.0,34.0,3.56,3003.0,1.0,1.0,36,84,39,1,0,0
499900,5.0,2.0,0.0,1039.0,15.0,3.56,5996.0,1.0,1.0,36,84,39,1,0,0
209000,2.0,1.0,0.0,850.0,21.0,1.62,850.0,0.0,1.0,85,99,65,0,1,0
229950,1.0,1.0,0.0,436.0,10.0,2.0,436.0,0.0,0.0,69,98,65,0,1,0
479900,3.0,2.0,1.0,2034.0,15.0,18.68,4359.0,1.0,1.0,50,64,34,1,0,0
321900,3.0,2.0,1.0,1503.0,50.0,18.23,1162.0,0.0,1.0,1,42,30,0,0,1
321900,2.0,2.0,1.0,1503.0,33.0,18.23,1162.0,0.0,1.0,1,42,30,0,0,1
295999,4.0,2.0,1.0,1125.0,43.0,18.27,1125.0,1.0,0.0,1,42,30,0,0,1
387500,4.0,2.0,1.0,1495.0,14.0,15.35,1495.0,0.0,1.0,25,47,56,0,0,1
619000,2.0,2.0,0.0,1355.0,41.0,2.6,4928.0,1.0,1.0,54,92,57,1,0,0
559000,4.0,2.0,0.0,1252.0,0.0,5.05,6232.0,1.0,1.0,61,85,56,1,0,0
214900,1.0,2.0,0.0,952.0,108.0,7.78,952.0,0.0,0.0,46,77,38,0,1,0
525000,4.0,3.0,1.0,1853.0,1.0,14.56,3940.0,1.0,1.0,23,48,37,1,0,0
350000,2.0,1.0,0.0,840.0,57.0,2.36,3606.0,1.0,0.0,59,77,57,1,0,0
208900,2.0,1.0,0.0,511.0,19.0,9.56,511.0,0.0,0.0,60,77,50,0,1,0
469000,2.0,2.0,0.0,917.0,42.0,1.12,917.0,0.0,0.0,86,98,60,0,1,0
344900,2.0,2.0,0.0,694.0,6.0,1.14,694.0,0.0,1.0,86,98,60,0,1,0
334000,2.0,2.0,0.0,701.0,39.0,1.14,701.0,0.0,1.0,86,98,60,0,1,0
999000,3.0,2.0,1.0,1984.0,5.0,1.79,3638.0,1.0,0.0,72,87,48,1,0,0
248000,2.0,2.0,0.0,967.0,27.0,0.9,967.0,0.0,0.0,90,95,77,0,1,0
212500,2.0,2.0,0.0,893.0,10.0,9.16,893.0,0.0,0.0,39,62,49,0,1,0
303000,4.0,2.0,0.0,1109.0,49.0,9.52,6620.0,1.0,0.0,31,67,47,1,0,0
326900,4.0,2.0,0.0,1050.0,5.0,11.49,3003.0,1.0,1.0,45,70,51,1,0,0
519000,4.0,3.0,1.0,1802.0,42.0,11.61,5855.0,1.0,1.0,48,68,46,1,0,0
359900,3.0,2.0,1.0,1280.0,39.0,9.28,5070.0,1.0,1.0,46,77,42,1,0,0
469900,4.0,2.0,2.0,1600.0,11.0,16.55,4273.0,1.0,1.0,23,43,50,1,0,0
219000,2.0,2.0,0.0,834.0,36.0,15.63,834.0,0.0,1.0,26,40,54,0,1,0
