latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage,mls
,,1998.0,22.0,,3450.65,6459,1.0,1.0,A1045804
,,1982.0,38.0,,2849.6,4994,1.0,1.0,A1045857
,,2006.0,14.0,,2269.73,4370,1.0,1.0,A1044136
,,2019.0,1.0,,2248.11,7556,1.0,1.0,A1045884
,,2005.0,15.0,,1079.73,,0.0,0.0,A1045888
,,1982.0,38.0,,1859.37,0,0.0,1.0,C4304999
,,1961.0,59.0,,1513.01,3477,1.0,1.0,A1045847
,,1995.0,25.0,,951.31,na,0.0,0.0,A1045875
,,2020.0,0.0,,2244.22,5855,1.0,1.0,A1045189
,,1997.0,23.0,,1123.84,,0.0,1.0,A1045702
,,1981.0,39.0,,3433.35,2809,1.0,1.0,A1045012
51.131924,-113.92459699999999,2017.0,3.0,14.23,1729.22,2702,1.0,1.0,A1040353
,,1976.0,44.0,,1232.38,,0.0,1.0,A1045684
,,1969.0,51.0,,1424.8,,0.0,0.0,A1045887
,,2017.0,3.0,,1167.08,,0.0,1.0,A1045694
,,2020.0,0.0,,2270.16,3940,1.0,1.0,A1045023
,,1997.0,23.0,,1621.11,na,0.0,1.0,A1038775
,,1983.0,37.0,,1642.73,2713,1.0,1.0,A1045621
,,2014.0,6.0,,1513.01,3423,1.0,1.0,A1044853
,,2011.0,9.0,,1660.46,2885,1.0,0.0,A1045727
,,1998.0,22.0,,3450.65,6459,1.0,1.0,A1045804
,,1982.0,38.0,,2849.6,4994,1.0,1.0,A1045857
,,2006.0,14.0,,2269.73,4370,1.0,1.0,A1044136
,,2012.0,8.0,,2248.11,7556,1.0,1.0,A1045884
,,1996.0,24.0,,1079.73,,0.0,0.0,A1045888
,,2010.0,10.0,,1859.37,0,0.0,1.0,C4304999
,,2016.0,4.0,,1513.01,3477,1.0,1.0,A1045847
,,2015.0,5.0,,951.31,na,0.0,0.0,A1045875
,,2010.0,10.0,,2244.22,5855,1.0,1.0,A1045189
,,1980.0,40.0,,1123.84,,0.0,1.0,A1045702
,,2010.0,10.0,,3433.35,2809,1.0,1.0,A1045012
51.131924,-113.92459699999999,2010.0,10.0,14.23,1729.22,2702,1.0,1.0,A1040353
,,2000.0,20.0,,1232.38,,0.0,1.0,A1045684
,,2010.0,10.0,,1424.8,,0.0,0.0,A1045887
,,1987.0,33.0,,1167.08,,0.0,1.0,A1045694
,,2007.0,13.0,,2270.16,3940,1.0,1.0,A1045023
,,2021.0,-1.0,,1621.11,na,0.0,1.0,A1038775
,,1967.0,53.0,,1642.73,2713,1.0,1.0,A1045621
,,2002.0,18.0,,1513.01,3423,1.0,1.0,A1044853
,,1963.0,57.0,,1660.46,2885,1.0,0.0,A1045727
,,2016.0,4.0,,3450.65,6459,1.0,1.0,A1045804
,,1997.0,23.0,,2849.6,4994,1.0,1.0,A1045857
,,1980.0,40.0,,2269.73,4370,1.0,1.0,A1044136
,,2012.0,8.0,,2248.11,7556,1.0,1.0,A1045884
,,1996.0,24.0,,1079.73,,0.0,0.0,A1045888
,,2010.0,10.0,,1859.37,0,0.0,1.0,C4304999
,,2016.0,4.0,,1513.01,3477,1.0,1.0,A1045847
50.939225,-114.070944,2015.0,5.0,11.76,1945.42,6964,1.0,0.0,A1045291
,,2010.0,10.0,,3112.94,6048,1.0,1.0,A1045664
51.068157,-114.05661299999998,1980.0,40.0,2.85,1638.84,5511,1.0,0.0,A1045757
,,2010.0,10.0,,604.94,,0.0,0.0,A1045550
,,2010.0,10.0,,1297.24,,0.0,0.0,A1045579
51.038786,-114.080193,2000.0,20.0,0.81,1275.62,,0.0,1.0,A1045733
,,2010.0,10.0,,,,0.0,0.0,
51.07721,-114.06661799999999,1987.0,33.0,3.62,1642.73,2992,1.0,0.0,A1043141
51.07721,-114.06651000000001,2007.0,13.0,3.63,1729.22,2992,1.0,1.0,A1042955
,,2021.0,-1.0,,950.87,na,1.0,0.0,A1045249
,,1967.0,53.0,,2097.2,4532,1.0,1.0,A1045594
,,2002.0,18.0,,2373.94,4629,1.0,1.0,A1045723
,,1963.0,57.0,,,,0.0,0.0,
,,2016.0,4.0,,1944.99,4435,1.0,0.0,A1044717
,,1997.0,23.0,,1902.18,6070,1.0,1.0,A1045670
,,1980.0,40.0,,1858.94,5199,1.0,1.0,A1045430
,,2012.0,8.0,,2209.63,4499,1.0,1.0,A1045334
,,1996.0,24.0,,1249.67,,0.0,1.0,A1043927
,,2010.0,10.0,,,,0.0,0.0,
,,2016.0,4.0,,3242.66,6135,1.0,1.0,A1045720
50.939225,-114.070944,2015.0,5.0,11.76,1945.42,6964,1.0,0.0,A1045291
,,2010.0,10.0,,3112.94,6048,1.0,1.0,A1045664
51.068157,-114.05661299999998,1980.0,40.0,2.85,1638.84,5511,1.0,0.0,A1045757
,,2010.0,10.0,,604.94,,0.0,0.0,A1045550
,,2010.0,10.0,,1297.24,,0.0,0.0,A1045579
51.038786,-114.080193,2000.0,20.0,0.81,1275.62,,0.0,1.0,A1045733
,,2010.0,10.0,,,,0.0,0.0,
51.07721,-114.06661799999999,1987.0,33.0,3.62,1642.73,2992,1.0,0.0,A1043141
51.07721,-114.06651000000001,2007.0,13.0,3.63,1729.22,2992,1.0,1.0,A1042955
,,2021.0,-1.0,,950.87,na,1.0,0.0,A1045249
,,1967.0,53.0,,2097.2,4532,1.0,1.0,A1045594
,,2002.0,18.0,,2373.94,4629,1.0,1.0,A1045723
